Año;Mes;Consumo GWh;Consumo kWh;Temperatura media (°C)
2010;1;313;313000000;22.3
2010;2;364;364000000;20.8
2010;3;377;377000000;20
2010;4;328;328000000;15.3
2010;5;233;233000000;13.1
2010;6;310;310000000;9.9
2010;7;287;287000000;7.8
2010;8;312;312000000;10.7
2010;9;257;257000000;13.4
2010;10;281;281000000;15.2
2010;11;316;316000000;18.5
2010;12;404;404000000;18.9
2011;1;388;388000000;21.9
2011;2;371;371000000;21.3
2011;3;390;390000000;19.2
2011;4;319;319000000;15.8
2011;5;330;330000000;12.9
2011;6;293;293000000;9.5
2011;7;292;292000000;8.8
2011;8;235;235000000;10.1
2011;9;139;139000000;15.3
2011;10;159;159000000;16.1
2011;11;321;321000000;18.7
2011;12;368;368000000;21.4
2019;1;507;507440355.4;21.8
2019;2;418;418003989.8;22.1
2019;3;346;346057181.8;18.9
2019;4;428;427625288.5;15.2
2019;5;326;326028481.7;11.5
2019;6;296;295673474.5;8.5
2019;7;288;288458973.4;8.5
2019;8;124;124345327.1;11.3
2019;9;252;252496772.4;12.5
2019;10;305;304677372.4;15.4
2019;11;321;320520787.3;20
2019;12;382;381788634.9;22.2
2020;1;423;422638310.4;22.6
2020;2;415;414678266;21.7
2020;3;392;392161862;20.2
2020;4;296;296099106.6;16.5
2020;5;263;263366428.5;12.8
2020;6;205;204790334.2;8.3
2020;7;191;191022666.3;8.7
2020;8;166;166295880;9.7
2020;9;159;159338982.9;13
2020;10;230;229685532;15.7
2020;11;262;261886476.2;18
2020;12;326;325949073.2;20.7
